trade_id,date,fund,instrument,exchange,trade_type,quantity,price,instrument_type,sector,notes
T001,2025-01-15,Alpha Growth Fund,RELIANCE,NSE,BUY,500,2450.75,EQ,Energy,"Initiated position post Q3 results beat"
T002,2025-01-15,Alpha Growth Fund,HDFCBANK,NSE,BUY,1000,1625.30,EQ,Banking,"Core banking allocation increase"
T003,2025-01-20,Alpha Growth Fund,NIFTY25JAN25P,NSE,BUY,50,125.00,OPT,Index,"Protective put hedge for Jan expiry"
T004,2025-02-03,Beta Value Fund,RELIANCE,NSE,BUY,800,2380.50,EQ,Energy,"Value entry on 3% dip"
T005,2025-02-05,Alpha Growth Fund,RELIANCE,NSE,SELL,200,2510.00,EQ,Energy,"Partial profit booking after 2.4% rally"
T006,2025-02-10,Beta Value Fund,HDFCBANK,NSE,BUY,600,1598.00,EQ,Banking,"Accumulated on sector weakness"
T007,2025-02-12,Alpha Growth Fund,TCS,NSE,BUY,300,3820.00,EQ,IT,"Added IT exposure ahead of earnings"
T008,2025-02-15,Beta Value Fund,ICICIBANK,NSE,BUY,1200,1045.75,EQ,Banking,"ICICI undervalued vs HDFC on P/B basis"
T009,2025-02-20,Alpha Growth Fund,HDFCBANK,NSE,SELL,500,1670.00,EQ,Banking,"Trimmed after 2.8% outperformance"
T010,2025-03-01,Gamma MidCap Fund,PERSISTENT,NSE,BUY,400,5200.00,EQ,IT,"Midcap IT conviction pick"
T011,2025-03-05,Gamma MidCap Fund,COFORGE,NSE,BUY,350,6150.00,EQ,IT,"IT services basket - mid tier"
T012,2025-03-10,Beta Value Fund,SBIN,NSE,BUY,2000,620.50,EQ,Banking,"PSU bank rerating thesis"
T013,2025-03-12,Alpha Growth Fund,RELIANCE,NSE,BUY,100,2490.00,EQ,Energy,"Re-added on Jio tariff hike news"
T014,2025-03-15,Gamma MidCap Fund,ZOMATO,NSE,BUY,1500,215.00,EQ,Consumer Tech,"Profitability inflection play"
T015,2025-03-18,Alpha Growth Fund,INFY,NSE,BUY,400,1580.00,EQ,IT,"Diversifying IT exposure beyond TCS"
